transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee,init_time,mu,sigma,est_mu,est_sigma,est_shift
0x8a0554db567a075a10e0f84929ff84ffbed81266528c4036ac7d1344d18ebe70,22,19000039,41297,21000000000,17619529034,139603309482902,2.9304535941299004,-1.870173890564745,0.7221301518848864,-1.8934746009545447,0.7418926768370537,2.9349289073949625
0x0a27b98b23f428ac11df66e508d42c397594fce996d9cd4364532397f9e41f8d,19,19000039,46097,22000000000,17619529034,201926570119702,3.0473526414730334,-1.870173890564745,0.7221301518848864,-1.9022404183967436,0.7367090044614074,3.051633104642657
0x55c51b566f9147899ae3637adccfe035a970ffe915c6ec8671eb1504d2101ae0,91,19000039,21000,19619529034,17619529034,42000000000000,3.086974798762572,-1.870173890564745,0.7221301518848864,-1.89132578862888,0.7362610576619271,3.0907262164003235
0x15dd22d6d6450ecdd78d907ff01d4fa0cccd2f8339885df566ac00d63f004e90,117,19000039,21000,17719529034,17619529034,2100000000000,3.13097418640769,-1.870173890564745,0.7221301518848864,-1.9075676022742596,0.7414310599867779,3.1361983904125097
0xc1a164f5bdbaecedbad454e66374da0e6ca285a370833b76a60b13b9b4b7eac4,127,19000039,178691,17669529034,17619529034,8934550000000,3.1324896038805434,-1.870173890564745,0.7221301518848864,-1.8989788291472054,0.737962256232258,3.136062928103858
0x46cd36caf0bc1b4030e06ad15bae77d65455bbf91a21b6171d5808e162db9bc5,49,19000039,40360,18000000000,17619529034,15355808187760,3.2604093154004916,-1.870173890564745,0.7221301518848864,-1.8885161101671135,0.7337604462578716,3.262548825114149
0xe7a7c14067a99ed18a44f25c32f2e5f68409299ee925de0e12995c43df3293e1,44,19000039,30867,18619529034,17619529034,30867000000000,3.282646534582267,-1.870173890564745,0.7221301518848864,-1.9168298955499865,0.7532106706545945,3.289753036470253
0x7593753f6cb49ddb65b13c9692bfc78a0df6c68e7b12c31e1550ea3c6f166bd7,90,19000039,21000,19619529034,17619529034,42000000000000,3.3209427311488913,-1.870173890564745,0.7221301518848864,-1.8993002816016686,0.7442265334249016,3.3258029069474278
0xb5f948876e5187b715dbdf09a0b6029f0a7f828488277c7b6b59d1543163f0b2,105,19000039,21000,18119529034,17619529034,10500000000000,3.3638745550346525,-1.870173890564745,0.7221301518848864,-1.8712640799468498,0.7309898185311746,3.3638396509777273
0x3c8b1de5a007214b7293a6a35614faccfddd0bde86210cc0576c996cd94a5c44,73,19000039,27175,17719529034,17619529034,2717500000000,3.4278182846626435,-1.870173890564745,0.7221301518848864,-1.8836917578242796,0.7351033985149135,3.4302062366098722
0xfc81158c76377e7f13b916ea75ee6603f514f143ca140f32dab96dde42cac0e0,119,19000039,21000,17719529034,17619529034,2100000000000,3.6463168427937505,-1.870173890564745,0.7221301518848864,-1.8854189300216593,0.7378918874201577,3.648472917884179
0xb5df1b6feee31680b53c24b55e2d7f348f8c058b8da44bc270adb1200d6b9bea,28,19000039,147050,19619529034,17619529034,294100000000000,3.6995158302331665,-1.870173890564745,0.7221301518848864,-1.8880260080200544,0.7394849611298908,3.702668650107138
0x93f0041989f869eba58c694237c4d4cb4db0624add621f176b89c38afcd78415,165,19000039,21000,17819529034,17619529034,4200000000000,3.7206508210362252,-1.870173890564745,0.7221301518848864,-1.884418819962648,0.7354644548904297,3.7232403417443622
